P,S,T,S^2,PxS,Px(S^2),(P^2) xS,(P^2) x (S^2),Temp
22,1809,1280,3272481,39798,71994582,875556,1583880804,47
22,1781,1290,3171961,39182,69783142,862004,1535229124,46
22,1742,1300,3034564,38324,66760408,843128,1468728976,45
21,1706,1310,2910436,35826,61119156,752346,1283502276,45
21,1657,1320,2745649,34797,57658629,730737,1210831209,44
21,1616,1330,2611456,33936,54840576,712656,1151652096,44
21,1604,1340,2572816,33684,54029136,707364,1134611856,43
21,1588,1350,2521744,33348,52956624,700308,1112089104,42
21,1574,1360,2477476,33054,52026996,694134,1092566916,41
21,1572,1370,2471184,33012,51894864,693252,1089792144,41
20,1550,1380,2402500,31000,48050000,620000,961000000,41
19,1517,1390,2301289,28823,43724491,547637,830765329,40
19,1487,1400,2211169,28253,42012211,536807,798232009,40
19,1463,1410,2140369,27797,40667011,528143,772673209,40
18,1424,1420,2027776,25632,36499968,461376,656999424,40
18,1388,1430,1926544,24984,34677792,449712,624200256,39
17,1415,1440,2002225,24055,34037825,408935,578643025,40
16,1440,1450,2073600,23040,33177600,368640,530841600,40
15,1444,1460,2085136,21660,31277040,324900,469155600,41
15,1485,1470,2205225,22275,33078375,334125,496175625,42
15,1518,1480,2304324,22770,34564860,341550,518472900,42
15,1561,1490,2436721,23415,36550815,351225,548262225,43
16,1594,1500,2540836,25504,40653376,408064,650454016,44
16,1640,1510,2689600,26240,43033600,419840,688537600,45
17,1672,1520,2795584,28424,47524928,483208,807923776,46
17,1714,1530,2937796,29138,49942532,495346,849023044,46
18,1741,1540,3031081,31338,54559458,564084,982070244,47
18,1765,1550,3115225,31770,56074050,571860,1009332900,48
19,1787,1560,3193369,33953,60674011,645107,1152806209,48
20,1790,1570,3204100,35800,64082000,716000,1281640000,48
20,1811,1580,3279721,36220,65594420,724400,1311888400,48
21,1811,1590,3279721,38031,68874141,798651,1446356961,48
22,1859,1600,3455881,40898,76029382,899756,1672646404,48
24,1988,1610,3952144,47712,94851456,1145088,2276434944,50
24,2003,1620,4012009,48072,96288216,1153728,2310917184,51
25,2110,1630,4452100,52750,111302500,1318750,2782562500,51
26,2332,1640,5438224,60632,141393824,1576432,3676239424,54
29,2662,1650,7086244,77198,205501076,2238742,5959531204,59
18,2426,1660,5885476,43668,105938568,786024,1906894224,53
15,1955,1670,3822025,29325,57330375,439875,859955625,50
19,1945,1680,3783025,36955,71877475,702145,1365672025,50
26,2064,1690,4260096,53664,110762496,1395264,2879824896,51
27,2021,1700,4084441,54567,110279907,1473309,2977557489,51
28,2002,1710,4008004,56056,112224112,1569568,3142275136,51
27,1956,1720,3825936,52812,103300272,1425924,2789107344,50
26,1937,1730,3751969,50362,97551194,1309412,2536331044,49
26,1920,1740,3686400,49920,95846400,1297920,2492006400,48
26,1883,1750,3545689,48958,92187914,1272908,2396885764,48
26,1852,1760,3429904,48152,89177504,1251952,2318615104,47
26,1841,1770,3389281,47866,88121306,1244516,2291153956,47
26,1839,1780,3381921,47814,87929946,1243164,2286178596,47
25,1803,1790,3250809,45075,81270225,1126875,2031755625,47
25,1786,1800,3189796,44650,79744900,1116250,1993622500,46
25,1755,1810,3080025,43875,77000625,1096875,1925015625,46
25,1753,1820,3073009,43825,76825225,1095625,1920630625,45
25,1728,1830,2985984,43200,74649600,1080000,1866240000,44
25,1719,1840,2954961,42975,73874025,1074375,1846850625,44
24,1701,1850,2893401,40824,69441624,979776,1666598976,44
24,1654,1860,2735716,39696,65657184,952704,1575772416,43
23,1626,1870,2643876,37398,60809148,860154,1398610404,43
22,1611,1880,2595321,35442,57097062,779724,1256135364,42
21,1584,1890,2509056,33264,52690176,698544,1106493696,41
20,1570,1900,2464900,31400,49298000,628000,985960000,40
20,1532,1910,2347024,30640,46940480,612800,938809600,40
20,1524,1920,2322576,30480,46451520,609600,929030400,39
19,1559,1930,2430481,29621,46179139,562799,877403641,40
19,1606,1940,2579236,30514,49005484,579766,931104196,40
20,1640,1950,2689600,32800,53792000,656000,1075840000,40
20,1680,1960,2822400,33600,56448000,672000,1128960000,41
21,1699,1970,2886601,35679,60618621,749259,1272991041,41
21,1714,1980,2937796,35994,61693716,755874,1295568036,42
21,1760,1990,3097600,36960,65049600,776160,1366041600,42
22,1789,2000,3200521,39358,70411462,865876,1549052164,42
23,1822,2010,3319684,41906,76352732,963838,1756112836,42
24,1838,2020,3378244,44112,81077856,1058688,1945868544,42
25,1847,2030,3411409,46175,85285225,1154375,2132130625,42
20,1882,2040,3541924,37640,70838480,752800,1416769600,42
19,1908,2050,3640464,36252,69168816,688788,1314207504,42
19,1948,2060,3794704,37012,72099376,703228,1369888144,43
18,1976,2070,3904576,35568,70282368,640224,1265082624,43
18,1984,2080,3936256,35712,70852608,642816,1275346944,44
17,2028,2090,4112784,34476,69917328,586092,1188594576,44
16,2034,2100,4137156,32544,66194496,520704,1059111936,45
16,2048,2110,4194304,32768,67108864,524288,1073741824,46
16,2067,2120,4272489,33072,68359824,529152,1093757184,47
16,2105,2130,4431025,33680,70896400,538880,1134342400,48
15,2117,2140,4481689,31755,67225335,476325,1008380025,49
15,2118,2150,4485924,31770,67288860,476550,1009332900,50
14,2144,2160,4596736,30016,64354304,420224,900960256,51
14,2140,2170,4579600,29960,64114400,419440,897601600,50
14,2126,2180,4519876,29764,63278264,416696,885895696,49
13,2083,2190,4338889,27079,56405557,352027,733272241,48
13,2055,2200,4223025,26715,54899325,347295,713691225,48
12,2048,2210,4194304,24576,50331648,294912,603979776,48
12,2031,2220,4124961,24372,49499532,292464,593994384,48
11,2005,2230,4020025,22055,44220275,242605,486423025,47
11,1991,2240,3964081,21901,43604891,240911,479653801,47
11,1977,2250,3908529,21747,42993819,239217,472932009,46
12,1974,2260,3896676,23688,46760112,284256,561121344,45
12,1943,2270,3775249,23316,45302988,279792,543635856,45
13,1942,2280,3771364,25246,49027732,328198,637360516,44
14,1895,2290,3591025,26530,50274350,371420,703840900,44
15,1880,2300,3534400,28200,53016000,423000,795240000,43
16,1868,2310,3489424,29888,55830784,478208,893292544,42
16,1848,2320,3415104,29568,54641664,473088,874266624,42
15,1820,2330,3312400,27300,49686000,409500,745290000,42
14,1792,2340,3211264,25088,44957696,351232,629407744,42
14,1756,2350,3083536,24584,43169504,344176,604373056,41
14,1718,2360,2951524,24052,41321336,336728,578498704,41
13,1716,2370,2944656,22308,38280528,290004,497646864,41
13,1696,2380,2876416,22048,37393408,286624,486114304,40
12,1671,2390,2792241,20052,33506892,240624,402082704,39
11,1712,2400,2930944,18832,32240384,207152,354644224,39
13,1511,10,2283121,19643,29680573,255359,385847449,40
14,1548,20,2396304,21672,33548256,303408,469675584,41
15,1549,30,2399401,23235,35991015,348525,539865225,41
15,1554,40,2414916,23310,36223740,349650,543356100,42
15,1567,50,2455489,23505,36832335,352575,552485025,42
16,1603,60,2569609,25648,41113744,410368,657819904,42
17,1604,70,2572816,27268,43737872,463556,743543824,42
18,1612,80,2598544,29016,46773792,522288,841928256,42
18,1626,90,2643876,29268,47589768,526824,856615824,43
19,1648,100,2715904,31312,51602176,594928,980441344,44
19,1671,110,2792241,31749,53052579,603231,1007999001,44
20,1676,120,2808976,33520,56179520,670400,1123590400,44
20,1711,130,2927521,34220,58550420,684400,1171008400,44
21,1727,140,2982529,36267,62633109,761607,1315295289,45
22,1775,150,3150625,39050,69313750,859100,1524902500,46
22,1823,160,3323329,40106,73113238,882332,1608491236,47
22,1823,170,3323329,40106,73113238,882332,1608491236,48
22,1860,180,3459600,40920,76111200,900240,1674446400,49
22,1907,190,3636649,41954,80006278,922988,1760138116,50
23,1922,200,3694084,44206,84963932,1016738,1954170436,51
23,1901,210,3613801,43723,83117423,1005629,1911700729,50
23,1898,220,3602404,43654,82855292,1004042,1905671716,50
23,1857,230,3448449,42711,79314327,982353,1824229521,50
23,1839,240,3381921,42297,77784183,972831,1789036209,49
22,1801,250,3243601,39622,71359222,871684,1569902884,48
21,1773,260,3143529,37233,66014109,781893,1386296289,48
20,1724,270,2972176,34480,59443520,689600,1188870400,47
19,1682,280,2829124,31958,53753356,607202,1021313764,46
18,1642,290,2696164,29556,48530952,532008,873557136,45
17,1635,300,2673225,27795,45444825,472515,772562025,44
16,1627,310,2647129,26032,42354064,416512,677665024,43
15,1608,320,2585664,24120,38784960,361800,581774400,42
15,1593,330,2537649,23895,38064735,358425,570971025,42
14,1552,340,2408704,21728,33721856,304192,472105984,42
14,1550,350,2402500,21700,33635000,303800,470890000,41
14,1531,360,2343961,21434,32815454,300076,459416356,40
13,1495,370,2235025,19435,29055325,252655,377719225,40
12,1449,380,2099601,17388,25195212,208656,302342544,40
11,1438,390,2067844,15818,22746284,173998,250209124,39
12,1444,400,2085136,17328,25021632,207936,300259584,40
13,1486,410,2208196,19318,28706548,251134,373185124,41
13,1530,420,2340900,19890,30431700,258570,395612100,41
13,1570,430,2464900,20410,32043700,265330,416568100,41
14,1619,440,2621161,22666,36696254,317324,513747556,42
14,1666,450,2775556,23324,38857784,326536,544008976,42
15,1687,460,2845969,25305,42689535,379575,640343025,42
15,1695,470,2873025,25425,43095375,381375,646430625,43
16,1708,480,2917264,27328,46676224,437248,746819584,43
17,1755,490,3080025,29835,52360425,507195,890127225,44
17,1804,500,3254416,30668,55325072,521356,940526224,45
17,1813,510,3286969,30821,55878473,523957,949934041,45
17,1826,520,3334276,31042,56682692,527714,963605764,46
18,1853,530,3433609,33354,61804962,600372,1112489316,47
18,1865,540,3478225,33570,62608050,604260,1126944900,48
18,1878,550,3526884,33804,63483912,608472,1142710416,48
18,1918,560,3678724,34524,66217032,621432,1191906576,48
23,1959,570,3837681,45057,88266663,1036311,2030133249,49
25,2021,580,4084441,50525,102111025,1263125,2552775625,50
20,2315,590,5359225,46300,107184500,926000,2143690000,53
19,2219,600,4923961,42161,93555259,801059,1777549921,57
19,1945,610,3783025,36955,71877475,702145,1365672025,55
18,1902,620,3617604,34236,65116872,616248,1172103696,54
18,1899,630,3606201,34182,64911618,615276,1168409124,52
17,1886,640,3556996,32062,60468932,545054,1027971844,50
16,1847,650,3411409,29552,54582544,472832,873320704,49
16,1823,660,3323329,29168,53173264,466688,850772224,48
15,1790,670,3204100,26850,48061500,402750,720922500,48
14,1758,680,3090564,24612,43267896,344568,605750544,47
14,1754,690,3076516,24556,43071224,343784,602997136,47
13,1723,700,2968729,22399,38593477,291187,501715201,47
12,1680,710,2822400,20160,33868800,241920,406425600,46
11,1674,720,2802276,18414,30825036,202554,339075396,46
11,1655,730,2739025,18205,30129275,200255,331422025,46
10,1625,740,2640625,16250,26406250,162500,264062500,45
10,1619,750,2621161,16190,26211610,161900,262116100,44
9,1582,760,2502724,14238,22524516,128142,202720644,43
9,1541,770,2374681,13869,21372129,124821,192349161,42
9,1520,780,2310400,13680,20793600,123120,187142400,42
8,1477,790,2181529,11816,17452232,94528,139617856,41
7,1452,800,2108304,10164,14758128,71148,103306896,41
6,1405,810,1974025,8430,11844150,50580,71064900,40
6,1388,820,1926544,8328,11559264,49968,69355584,39
7,1403,830,1968409,9821,13778863,68747,96452041,39
8,1435,840,2059225,11480,16473800,91840,131790400,40
9,1460,850,2131600,13140,19184400,118260,172659600,41
9,1508,860,2274064,13572,20466576,122148,184199184,41
10,1541,870,2374681,15410,23746810,154100,237468100,42
10,1581,880,2499561,15810,24995610,158100,249956100,43
10,1588,890,2521744,15880,25217440,158800,252174400,44
11,1591,900,2531281,17501,27844091,192511,306285001,44
12,1607,910,2582449,19284,30989388,231408,371872656,44
13,1648,920,2715904,21424,35306752,278512,458987776,45
13,1681,930,2825761,21853,36734893,284089,477553609,46
13,1691,940,2859481,21983,37173253,285779,483252289,46
13,1727,950,2982529,22451,38772877,291863,504047401,46
14,1737,960,3017169,24318,42240366,340452,591365124,47
15,1753,970,3073009,26295,46095135,394425,691427025,48
16,1792,980,3211264,28672,51380224,458752,822083584,49
17,1823,990,3323329,30991,56496593,526847,960442081,50
17,1860,1000,3459600,31620,58813200,537540,999824400,51
16,1852,1010,3429904,29632,54878464,474112,878055424,50
15,1847,1020,3411409,27705,51171135,415575,767567025,49
14,1818,1030,3305124,25452,46271736,356328,647804304,48
14,1810,1040,3276100,25340,45865400,354760,642115600,47
13,1762,1050,3104644,22906,40360372,297778,524684836,46
12,1721,1060,2961841,20652,35542092,247824,426505104,46
11,1691,1070,2859481,18601,31454291,204611,345997201,46
11,1678,1080,2815684,18458,30972524,203038,340697764,46
10,1678,1090,2815684,16780,28156840,167800,281568400,46
10,1671,1100,2792241,16710,27922410,167100,279224100,45
9,1642,1110,2696164,14778,24265476,133002,218389284,45
9,1595,1120,2544025,14355,22896225,129195,206066025,44
9,1549,1130,2399401,13941,21594609,125469,194351481,44
8,1513,1140,2289169,12104,18313352,96832,146506816,44
8,1492,1150,2226064,11936,17808512,95488,142468096,44
8,1465,1160,2146225,11720,17169800,93760,137358400,44
8,1423,1170,2024929,11384,16199432,91072,129595456,43
8,1378,1180,1898884,11024,15191072,88192,121528576,42
8,1339,1190,1792921,10712,14343368,85696,114746944,42
7,1307,1200,1708249,9149,11957743,64043,83704201,41
6,1294,1210,1674436,7764,10046616,46584,60279696,40
5,1246,1220,1552516,6230,7762580,31150,38812900,40
4,1235,1230,1525225,4940,6100900,19760,24403600,40
3,1194,1240,1425636,3582,4276908,10746,12830724,40
2,1165,1250,1357225,2330,2714450,4660,5428900,39
2,1194,1260,1425636,2388,2851272,4776,5702544,40
3,1239,1270,1535121,3717,4605363,11151,13816089,41
4,1257,1280,1580049,5028,6320196,20112,25280784,41
4,1258,1290,1582564,5032,6330256,20128,25321024,42
4,1280,1300,1638400,5120,6553600,20480,26214400,43
5,1322,1310,1747684,6610,8738420,33050,43692100,43
5,1349,1320,1819801,6745,9099005,33725,45495025,44
6,1370,1330,1876900,8220,11261400,49320,67568400,44
7,1413,1340,1996569,9891,13975983,69237,97831881,44
7,1438,1350,2067844,10066,14474908,70462,101324356,45
8,1462,1360,2137444,11696,17099552,93568,136796416,45
9,1488,1370,2214144,13392,19927296,120528,179345664,45
9,1492,1380,2226064,13428,20034576,120852,180311184,45
9,1497,1390,2241009,13473,20169081,121257,181521729,46
9,1504,1400,2262016,13536,20358144,121824,183223296,46
9,1522,1410,2316484,13698,20848356,123282,187635204,47
10,1555,1420,2418025,15550,24180250,155500,241802500,47
10,1576,1430,2483776,15760,24837760,157600,248377600,47
11,1610,1440,2592100,17710,28513100,194810,313644100,47
11,1623,1450,2634129,17853,28975419,196383,318729609,48
12,1642,1460,2696164,19704,32353968,236448,388247616,49
12,1684,1470,2835856,20208,34030272,242496,408363264,49
13,1725,1480,2975625,22425,38683125,291525,502880625,50
14,1763,1490,3108169,24682,43514366,345548,609201124,50
15,1784,1500,3182656,26760,47739840,401400,716097600,50
16,1818,1510,3305124,29088,52881984,465408,846111744,51
16,1781,1520,3171961,28496,50751376,455936,812022016,50
15,1734,1530,3006756,26010,45101340,390150,676520100,50
14,1689,1540,2852721,23646,39938094,331044,559133316,50
14,1658,1550,2748964,23212,38485496,324968,538796944,49
14,1655,1560,2739025,23170,38346350,324380,536848900,48
13,1643,1570,2699449,21359,35092837,277667,456206881,47
13,1634,1580,2669956,21242,34709428,276146,451222564,47
12,1621,1590,2627641,19452,31531692,233424,378380304,47
11,1582,1600,2502724,17402,27529964,191422,302829604,46
10,1559,1610,2430481,15590,24304810,155900,243048100,46
9,1523,1620,2319529,13707,20875761,123363,187881849,46
9,1485,1630,2205225,13365,19847025,120285,178623225,45
9,1471,1640,2163841,13239,19474569,119151,175271121,45
9,1424,1650,2027776,12816,18249984,115344,164249856,45
9,1397,1660,1951609,12573,17564481,113157,158080329,45
9,1374,1670,1887876,12366,16990884,111294,152917956,45
9,1349,1680,1819801,12141,16378209,109269,147403881,45
8,1314,1690,1726596,10512,13812768,84096,110502144,45
8,1280,1700,1638400,10240,13107200,81920,104857600,45
8,1273,1710,1620529,10184,12964232,81472,103713856,44
7,1255,1720,1575025,8785,11025175,61495,77176225,44
7,1232,1730,1517824,8624,10624768,60368,74373376,44
7,1189,1740,1413721,8323,9896047,58261,69272329,43
7,1163,1750,1352569,8141,9467983,56987,66275881,42
6,1158,1760,1340964,6948,8045784,41688,48274704,42
5,1154,1770,1331716,5770,6658580,28850,33292900,42
4,1121,1780,1256641,4484,5026564,17936,20106256,42
4,1102,1790,1214404,4408,4857616,17632,19430464,41
3,1054,1800,1110916,3162,3332748,9486,9998244,41
2,1042,1810,1085764,2084,2171528,4168,4343056,41
1,1008,1820,1016064,1008,1016064,1008,1016064,40
0,971,1830,942841,0,0,0,0,39
1,986,1840,972196,986,972196,986,972196,39
1,1028,1850,1056784,1028,1056784,1028,1056784,39
2,1054,1860,1110916,2108,2221832,4216,4443664,39
3,1077,1870,1159929,3231,3479787,9693,10439361,39
4,1104,1880,1218816,4416,4875264,17664,19501056,39
4,1112,1890,1236544,4448,4946176,17792,19784704,39
4,1132,1900,1281424,4528,5125696,18112,20502784,39
5,1177,1910,1385329,5885,6926645,29425,34633225,39
5,1186,1920,1406596,5930,7032980,29650,35164900,39
6,1193,1930,1423249,7158,8539494,42948,51236964,40
7,1212,1940,1468944,8484,10282608,59388,71978256,41
8,1224,1950,1498176,9792,11985408,78336,95883264,41
8,1264,1960,1597696,10112,12781568,80896,102252544,41
9,1287,1970,1656369,11583,14907321,104247,134165889,42
9,1331,1980,1771561,11979,15944049,107811,143496441,42
9,1339,1990,1792921,12051,16136289,108459,145226601,42
10,1377,2000,1896129,13770,18961290,137700,189612900,42
11,1413,2010,1996569,15543,21962259,170973,241584849,42
12,1413,2020,1996569,16956,23958828,203472,287505936,42
12,1430,2030,2044900,17160,24538800,205920,294465600,42
12,1455,2040,2117025,17460,25404300,209520,304851600,42
12,1484,2050,2202256,17808,26427072,213696,317124864,42
12,1492,2060,2226064,17904,26712768,214848,320553216,42
12,1518,2070,2304324,18216,27651888,218592,331822656,42
13,1547,2080,2393209,20111,31111717,261443,404452321,43
14,1569,2090,2461761,21966,34464654,307524,482505156,43
14,1600,2100,2560000,22400,35840000,313600,501760000,44
14,1606,2110,2579236,22484,36109304,314776,505530256,45
14,1612,2120,2598544,22568,36379616,315952,509314624,45
15,1617,2130,2614689,24255,39220335,363825,588305025,46
15,1649,2140,2719201,24735,40788015,371025,611820225,46
15,1657,2150,2745649,24855,41184735,372825,617771025,47
16,1688,2160,2849344,27008,45589504,432128,729432064,48
17,1710,2170,2924100,29070,49709700,494190,845064900,49
23,1959,2180,3837681,45057,88266663,1036311,2030133249,49
25,2021,2190,4084441,50525,102111025,1263125,2552775625,50
20,2315,2200,5359225,46300,107184500,926000,2143690000,53
19,2219,2210,4923961,42161,93555259,801059,1777549921,57
19,1945,2220,3783025,36955,71877475,702145,1365672025,55
18,1902,2230,3617604,34236,65116872,616248,1172103696,54
18,1899,2240,3606201,34182,64911618,615276,1168409124,52
17,1886,2250,3556996,32062,60468932,545054,1027971844,50
16,1741,2260,3031081,27856,48497296,445696,775956736,50
16,1697,2270,2879809,27152,46076944,434432,737231104,49
16,1673,2280,2798929,26768,44782864,428288,716525824,48
16,1670,2290,2788900,26720,44622400,427520,713958400,47
15,1670,2300,2788900,25050,41833500,375750,627502500,46
15,1642,2310,2696164,24630,40442460,369450,606636900,46
14,1617,2320,2614689,22638,36605646,316932,512479044,45
14,1592,2330,2534464,22288,35482496,312032,496754944,44
14,1557,2340,2424249,21798,33939486,305172,475152804,43
13,1513,2350,2289169,19669,29759197,255697,386869561,42
13,1467,2360,2152089,19071,27977157,247923,363703041,42
12,1467,2370,2152089,17604,25825068,211248,309900816,41
12,1427,2380,2036329,17124,24435948,205488,293231376,41
11,1389,2390,1929321,15279,21222531,168069,233447841,40
11,1382,2400,1909924,15202,21009164,167222,231100804,40
15,1530,10,2340900,22950,35113500,344250,526702500,40
15,1560,20,2433600,23400,36504000,351000,547560000,40
16,1563,30,2442969,25008,39087504,400128,625400064,41
17,1603,40,2569609,27251,43683353,463267,742617001,42
17,1627,50,2647129,27659,45001193,470203,765020281,42
18,1641,60,2692881,29538,48471858,531684,872493444,43
19,1672,70,2795584,31768,53116096,603592,1009205824,44
19,1693,80,2866249,32167,54458731,611173,1034715889,44
19,1716,90,2944656,32604,55948464,619476,1063020816,44
20,1754,100,3076516,35080,61530320,701600,1230606400,45
21,1787,110,3193369,37527,67060749,788067,1408275729,46
21,1790,120,3204100,37590,67286100,789390,1413008100,46
21,1828,130,3341584,38388,70173264,806148,1473638544,46
21,1854,140,3437316,38934,72183636,817614,1515856356,46
22,1873,150,3508129,41206,77178838,906532,1697934436,47
23,1874,160,3511876,43102,80773148,991346,1857782404,48
